respid,count,Sec_A_Q1,Sec_A_Q2,Sec_A_Q3,Sec_A_Q4,Sec_B_Q1,Sec_B_Q2,Sec_B_Q3,Sec_B_Q4,Exam Total,MED.AB
1,4,,85,,85,,92.5,  ,85,347.5,
2,4,88,,74,,74,,,40,276,
3,4,,,70,64,70,,57,,261,
4,4,,,50,10,65,50,,,175,
5,4,,45,55,,65,65,,,230,
6,4,,10,47,,60,40,,,157,
7,4,72,,72,,70,,73,,287,
8,4,68,,,72,75,,90,,305,
9,4,82,,72,,72.5,,70,,296.5,
10,4,64,54,,,60,,50,,228,
11,4,,50,30,,70,,,60,210,
12,4,90,90,,,90,,77,,347,
13,4,,45,60,,62.5,,60,,227.5,
14,4,,40,45,,60,,,75,220,
15,4,,60,64,,75,,97,,296,
16,0,,,,,,,,,0,AB
17,4,40,,60,,49,,50,,199,
18,4,,,60,45,50,,57,,212,
19,4,,73,78,,87.5,,,90,328.5,
20,4,,88,92,,85,,,100,365,
21,0,,,,,,,,,0,AB
22,4,63,,,65,,,67,85,280,
23,4,73,,73,,65,,,65,276,
24,4,78,,78,,75,,73,,304,
25,4,76,,72,,86.5,,90,,324.5,
26,4,60,65,,,82.5,,87,,294.5,
27,4,63,,66,,,5,67,,201,
28,4,,30,55,,65,,67,,217,
29,4,,72,62,,65,,,60,259,
30,4,82,92,,,90,70,,,334,
31,4,,68,,72,75,,83,,298,
32,4,,72,76,,,87.5,,75,310.5,
33,4,,73,72,,74,,73,,292,
34,4,50,,,73,,60,,60,243,
35,4,78,,82,,,65,67,,292,
36,4,30,,85,,74,30,,,219,
37,4,77,,76,,70,,80,,303,
38,4,73,,70,,80,72.5,,,295.5,
39,4,67,,68,,70,,67,,272,
40,4,56,,63,,75,,,65,259,
41,4,,52,56,,70,,63,,241,
42,4,46,55,,,69,,,60,230,
43,4,58,,64,,67.5,,,70,259.5,
44,4,53,,30,,72.5,,,55,210.5,
45,0,,,,,,,,,0,AB
46,4,55,,60,,69,72.5,,,256.5,
47,4,,65,63,,70,,60,,258,
48,4,75,73,,,90,,97,,335,
49,4,50,,,60,72.5,,,60,242.5,
50,4,70,,67,,74,67.5,,,278.5,
51,4,80,,72,,75,,50,,277,
52,0,,,,,,,,,0,AB
53,4,,50,50,,55,60,,,215,
54,4,,78,78,,,,77,75,308,
55,4,,48,48,,64,,,50,210,
56,0,,,,,,,,,0,AB
57,4,72,70,,,72.5,60,,,274.5,
58,4,,65,62,,72.5,,80,,279.5,
59,4,,,65,62,,45,63,,235,
60,4,63,60,,,69,,,65,257,
61,5,62,,,50,,85,10,70,277,
62,4,,40,40,,,,53,55,188,
63,3,,60,58,,,64,,,182,
64,3,57,,30,,80,,,,167,
65,4,,,47,30,,70,100,,247,
66,4,,,70,72,,,83,95,320,
67,4,60,,64,,,62.5,77,,263.5,
68,4,30,,58,,,67.5,,83,238.5,
69,4,65,64,0,,,70,,,199,
70,4,68,,63,,85,,87,,303,
71,4,40,,,40,75,,,70,225,
72,4,48,,54,,72.5,,65,,239.5,
73,4,40,,25,,,59,57,,181,
74,4,66,60,,,30,,7,,163,
75,4,65,,63,,,,67,60,255,
76,4,40,,45,,10,,50,,145,
77,4,50,52,,,,,63,55,220,
78,4,,25,60,,65,,63,,213,
79,4,56,,53,,,55,,65,229,
80,4,,50,48,,40,65,,,203,
81,4,52,,53,,65,,,55,225,
82,0,,,,,,,,,0,AB
83,4,,,60,50,,77,73,,260,
84,0,,,,,,,,,0,AB
85,4,,20,50,,50,,77,,197,
86,4,,,68,68,72.5,87.5,,,296,
87,4,30,55,,,75,,50,,210,
88,4,,,82,78,85,,93,,338,
89,4,40,52,,,70,,73,,235,
90,4,,50,46,,63.5,,77,,236.5,
91,4,68,73,,,88,,,65,294,
92,4,,72,67,,,,87,75,301,
93,4,62,,60,,,20,77,,219,
94,4,64,,65,,82.5,80,,,291.5,
95,4,,50,,50,74,,,65,239,
96,4,,50,45,,60,,77,,232,
97,4,,63,68,,,80,90,,301,
98,4,77,,,62,60,,77,,276,
99,4,,30,50,,55,,60,,195,
100,4,,48,48,,83,,63,,242,
101,4,,40,,40,,80,7,,167,
102,4,48,,60,,,93,63,,264,
103,4,56,,70,,74,,73,,273,
104,4,,73,73,,67.5,,20,,233.5,
105,0,,,,,,,,,0,AB
106,4,65,66,,,60,,,70,261,
107,4,,40,20,,60,,63,,183,
108,4,,20,40,,,67.5,,65,192.5,
109,4,,60,60,,60,,,60,240,
110,4,64,63,,,90,80,,,297,
111,4,,,48,40,57.5,,57,,202.5,
112,4,67,,53,,,,70,100,290,
113,4,,,58,10,60,,87,,215,
114,0,,,,,,,,,0,AB
115,4,20,30,,,,60,67,,177,
116,4,,,58,68,75,,,75,276,
117,4,,72,,73,,,70,70,285,
118,4,48,,52,,,,77,60,237,
119,4,40,65,,,,,70,20,195,
120,4,72,,64,,,80,60,,276,
121,4,,58,62,,,65,70,,255,
122,4,75,,,76,,,43,55,249,
123,4,78,80,,,,85,,65,308,
